trip_type,slug,trip_title,start_date,variant_name,price_inr
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-15,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-15,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-15,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-17,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-17,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-17,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-17,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-17,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-17,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-20,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-20,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-20,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-20,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-20,SIC (Seat in Coach) - Double Sharing,22000
