trip_slug,trip_title,date,variant_name,sheet_transport_hint,base_price_supabase,early_bird_discount_supabase,payable_supabase,sheet_original_price,sheet_discounted_price,price_match_sheet,discount_match_sheet,early_bird_enabled,early_bird_label,notes
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-10,SIT (Seat in Coach),,23000,2001,20999,23000,20999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-10,Triple Sharing,,29999,0,29999,,,,,false,,variant not found in sheet map
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-14,RE Himalayan 411 (DUAL RIDER),,28000,3001,24999,28000,24999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-14,RE Himalayan 411 (SOLO RIDER),,34000,3001,30999,34000,30999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-14,RE Himalayan 450 (DUAL RIDER),,33000,3001,29999,33000,29999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-14,RE Himalayan 450 (SOLO RIDER),,38000,3001,34999,38000,34999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-14,SIT (Seat in Coach),,23000,2001,20999,23000,20999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-14,Triple Sharing,,29999,0,29999,,,,,false,,variant not found in sheet map
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-17,RE Himalayan 411 (DUAL RIDER),,28000,3001,24999,28000,24999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-17,RE Himalayan 411 (SOLO RIDER),,34000,3001,30999,34000,30999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-17,RE Himalayan 450 (DUAL RIDER),,33000,3001,29999,33000,29999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-17,RE Himalayan 450 (SOLO RIDER),,38000,3001,34999,38000,34999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-17,SIT (Seat in Coach),,23000,2001,20999,23000,20999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-17,Triple Sharing,,29999,0,29999,,,,,false,,variant not found in sheet map
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-21,RE Himalayan 411 (DUAL RIDER),,28000,3001,24999,28000,24999,yes,yes,true,Early Bird Summer Sale,
